qid,wiki_id,name,description,url
Q19020,324,Academy Awards,"The Academy Awards, popularly known as the Oscars, are awards for artistic and technical merit in the film industry.",https://en.wikipedia.org/wiki/Academy_Awards
Q268873,107825,"Newport Beach, California","Newport Beach is a coastal city in Orange County, California, United States.","https://en.wikipedia.org/wiki/Newport_Beach,_California"
Q804691,419042,"Balboa Island, Newport Beach","Balboa Island is a harborside community located in Newport Beach, California, accessible to the public via bridge, ferry and several public docks.","https://en.wikipedia.org/wiki/Balboa_Island,_Newport_Beach"
Q99,5407,California,California is a state on the West Coast of the United States.,https://en.wikipedia.org/wiki/California
Q65,18110,Los Angeles,"Los Angeles ( (listen); Spanish: Los Ángeles; ""The Angels""), officially the City of Los Angeles and often abbreviated as L.A., is the largest city in California.",https://en.wikipedia.org/wiki/Los_Angeles
Q7933973,1324446,Virgin Mobile USA,Virgin Mobile USA was a no-contract Mobile Network Operator.,https://en.wikipedia.org/wiki/Virgin_Mobile_USA
Q3511885,20563054,T-Mobile US,"T-Mobile US, Inc., doing business as T-Mobile, is an American wireless network operator.",https://en.wikipedia.org/wiki/T-Mobile_US
Q1325951,764035,Virgin Mobile,Virgin Mobile is a wireless communications brand used by seven independent brand-licensees worldwide.,https://en.wikipedia.org/wiki/Virgin_Mobile
Q356359,604522,Indian Navy,The Indian Navy is the naval branch of the Indian Armed Forces.,https://en.wikipedia.org/wiki/Indian_Navy
Q18356668,43889369,Future of the Indian Navy,"The Indian Navy has been focusing on developing indigenous platforms, systems, sensors and weapons as part of the nation's modernisation and expansion of its maritime forces.",https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy
Q5869528,1348961,History of the Indian Navy,Maritime powers in the Indian subcontinent have possessed navies for many centuries.,https://en.wikipedia.org/wiki/History_of_the_Indian_Navy
Q1044427,6579025,Primetime Emmy Award,The Primetime Emmy Award is an American award bestowed by the Academy of Television Arts & Sciences (ATAS) in recognition of excellence in American primetime television programming.,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
Q4377021,6727622,Primetime Emmy Award for Outstanding Individual Performance in a Variety or Music Program,The Primetime Emmy Award for Outstanding Individual Performance in a Variety or Music Program was an annual award given to performers in a variety/music series or specials.,https://en.wikipedia.org/wiki/Primetime_Emmy_Award_for_Outstanding_Individual_Performance_in_a_Variety_or_Music_Program
Q24962073,48370891,List of awards and nominations received by Angela Lansbury,The following is a list of awards and nominations received by actress Angela Lansbury.,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Angela_Lansbury
