qid,wiki_id,name,description,url
Q1470929,708769,YouGov,"YouGov is a British international Internet-based market research and data analytics firm, headquartered in the UK, with operations in Europe, North America, the Middle East and Asia-Pacific.",https://en.wikipedia.org/wiki/YouGov
Q259361,27284572,Nadhim Zahawi,"Nadhim Zahawi (Arabic: ناظم الزهاوي‎, romanized: Nāẓim az-Zahāwī; born 2 June 1967) is an Iraqi-born British politician who has served as Parliamentary Under-Secretary of State for Business and Industry since 2019 and Parliamentary Under-Secretary of State for COVID-19 Vaccine Deployment since 2020.",https://en.wikipedia.org/wiki/Nadhim_Zahawi
Q85791055,62194043,Opinion polling for the next United Kingdom general election,"In the run up to the next United Kingdom general election, various organisations are expected to carry out opinion polling to gauge voting intention.",https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_United_Kingdom_general_election
Q55114633,57504501,Ryan Cohen,Ryan Cohen (born 1985 or 1986) is the co-founder and former CEO of e-commerce company Chewy.,https://en.wikipedia.org/wiki/Ryan_Cohen
Q2883616,28096448,Baojun,Baojun (simplified Chinese: 宝骏; traditional Chinese: 寶駿; pinyin: Bǎojùn; lit.,https://en.wikipedia.org/wiki/Baojun
Q4647471,1613746,A. A. Gill,Adrian Anthony Gill (28 June 1954 – 10 December 2016) was a Scottish writer and critic.,https://en.wikipedia.org/wiki/A._A._Gill
Q1522,21649,New Mexico,"New Mexico (Spanish: Nuevo México [ˈnweβo ˈmexiko] (listen); Navajo: Yootó Hahoodzo [joː˩tʰo˥ ha˩hoː˩tso˩]) is a state in the Southwestern United States; its capital is Santa Fe, which was founded in 1610 as capital of Nuevo México (itself established as a province of New Spain in 1598), while its largest city is Albuquerque with its accompanying metropolitan area.",https://en.wikipedia.org/wiki/New_Mexico
Q4750898,45351270,New Mexico chile,"New Mexico chile or New Mexican chile (Scientific name: capsicum annuum 'New Mexico Group', Spanish: chile de Nuevo México, chile del norte) is a cultivar group of the chile pepper from the US state of New Mexico, first grown by Pueblo and Hispano communities throughout Santa Fe de Nuevo México.",https://en.wikipedia.org/wiki/New_Mexico_chile
Q16191886,34343155,Hispanos of New Mexico,"The Hispanos of New Mexico, also known as Neomexicanos (Spanish: Neomexicano), or ""Nuevomexicanos"" are an ethnic group primarily residing in the U.S. state of New Mexico, as well as the southern portion of Colorado.",https://en.wikipedia.org/wiki/Hispanos_of_New_Mexico
Q953944,55097,U.S. Securities and Exchange Commission,"The U.S. Securities and Exchange Commission (SEC) is a large independent agency of the United States federal government, created in the aftermath of the Wall Street Crash of 1929.",https://en.wikipedia.org/wiki/U.S._Securities_and_Exchange_Commission
Q1999032,663022,Securities Exchange Act of 1934,"The Securities Exchange Act of 1934 (also called the Exchange Act, '34 Act, or 1934 Act) (Pub.L.",https://en.wikipedia.org/wiki/Securities_Exchange_Act_of_1934
Q25401607,3330391,Cryptocurrency exchange,"A cryptocurrency exchange, or a digital currency exchange (DCE), is a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies.",https://en.wikipedia.org/wiki/Cryptocurrency_exchange
Q105095113,65175052,Views of Elon Musk,"Elon Musk has expressed many views on a wide variety of subjects, ranging from politics to science.",https://en.wikipedia.org/wiki/Views_of_Elon_Musk
Q105086394,66516682,GameStop short squeeze,"In January 2021, a short squeeze of the stock of the American video game retailer GameStop (NYSE: GME) and other securities took place, causing major financial consequences for certain hedge funds and large losses for short sellers.",https://en.wikipedia.org/wiki/GameStop_short_squeeze
Q56248473,57971100,Vlad Tenev,"Vladimir Tenev (Bulgarian: Владимир Тенев; born 1986 or 1987) is a Bulgarian-American billionaire entrepreneur who was the co-founder (with Baiju Bhatt) and CEO of Robinhood, a US-based financial services company.",https://en.wikipedia.org/wiki/Vlad_Tenev
Q230,48768,Georgia (country),Georgia (Georgian: საქართველო; Sakartvelo; IPA: [sɑkʰɑrtʰvɛlɔ] (listen)) is a country located at the intersection of Eastern Europe and Western Asia.,https://en.wikipedia.org/wiki/Georgia_(country)
Q1428,48830,Georgia (U.S. state),"Georgia () is a state in the Southeastern region of the United States, bordered to the north by Tennessee and North Carolina; to the northeast by South Carolina; to the southeast by the Atlantic Ocean; to the south by Florida; and to the west by Alabama.",https://en.wikipedia.org/wiki/Georgia_(U.S._state)
